published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-08-01,133.0,137.0,131.0,135.0,0.0,730.0,96770.0,0
2019-08-04,133.0,133.0,130.0,131.0,-2.96,1860.0,243710.0,-1
2019-08-05,129.0,132.0,129.0,132.0,0.76,970.0,126710.0,1
2019-08-06,130.0,133.0,128.0,133.0,0.76,840.0,109220.0,1
2019-08-07,131.0,137.0,128.0,137.0,3.01,1060.0,137440.0,1
2019-08-11,135.0,135.0,126.0,126.0,-8.03,870.0,110760.0,-1
2019-08-12,125.0,127.0,124.0,126.0,0.0,1860.0,233940.0,0
2019-08-13,125.0,126.0,119.0,122.0,-3.17,8400.0,1025560.0,-1
2019-08-14,120.0,122.0,120.0,120.0,-1.64,900.0,108580.0,-1
2019-08-15,118.0,119.0,114.0,116.0,-3.33,1220.0,142760.0,-1
2019-08-18,114.0,117.0,113.0,117.0,0.86,1000.0,114110.0,1
2019-08-19,115.0,117.0,113.0,115.0,-1.71,1165.0,133935.0,-1
2019-08-20,113.0,113.0,104.0,104.0,-9.57,19951.0,2101114.0,-1
2019-08-21,102.0,99.0,100.0,109.0,4.81,6490.0,656724.0,1
2019-08-22,107.0,111.0,105.0,111.0,1.83,3900.0,413090.0,1
2019-08-25,109.0,109.0,101.0,103.0,-7.21,1000.0,102980.0,-1
2019-08-26,102.0,105.0,102.0,105.0,1.94,620.0,63540.0,1
2019-08-27,103.0,103.0,102.0,102.0,-2.86,340.0,34810.0,-1
2019-08-28,100.0,103.0,100.0,102.0,0.0,2530.0,257850.0,0
2019-08-29,100.0,102.0,100.0,100.0,-1.96,580.0,58350.0,-1
2019-09-01,98.0,102.0,98.0,100.0,0.0,610.0,60940.0,0
2019-09-02,100.0,100.0,98.0,98.0,-2.0,1500.0,148660.0,-1
2019-09-03,99.0,100.0,94.0,97.0,-1.02,1788.0,172984.0,-1
2019-09-04,97.0,99.0,100.0,106.0,9.28,420.0,41690.0,1
2019-09-05,104.0,106.0,99.0,106.0,0.0,1110.0,112530.0,0
2019-09-08,104.0,104.0,97.0,97.0,-8.49,730.0,72830.0,-1
2019-09-09,97.0,99.0,96.0,99.0,2.06,380.0,36890.0,1
2019-09-10,98.0,98.0,96.0,98.0,-1.01,390.0,38070.0,-1
2019-09-11,99.0,99.0,98.0,99.0,1.02,1000.0,98640.0,1
2019-09-12,99.0,99.0,94.0,95.0,-4.04,1181.0,112386.0,-1
2019-09-15,96.0,96.0,92.0,95.0,0.0,1120.0,106410.0,0
2019-09-16,95.0,95.0,93.0,93.0,-2.11,1440.0,135390.0,-1
2019-09-17,93.0,93.0,91.0,93.0,0.0,2680.0,245270.0,0
2019-09-18,92.0,96.0,92.0,95.0,2.15,760.0,72560.0,1
2019-09-19,96.0,97.0,96.0,97.0,2.11,240.0,23150.0,1
2019-09-22,96.0,96.0,91.0,92.0,-5.15,350.0,32200.0,-1
2019-09-23,91.0,94.0,91.0,92.0,0.0,560.0,51660.0,0
2019-09-24,92.0,93.0,92.0,93.0,1.09,310.0,28680.0,1
2019-09-25,92.0,92.0,92.0,92.0,-1.08,170.0,15640.0,-1
2019-09-26,91.0,95.0,90.0,95.0,3.26,450.0,41990.0,1
2019-09-29,95.0,98.0,95.0,96.0,1.05,1430.0,138180.0,1
2019-09-30,95.0,95.0,95.0,95.0,-1.04,60.0,5700.0,-1
2019-10-01,95.0,95.0,94.0,95.0,0.0,725.0,68835.0,0
2019-10-02,94.0,94.0,93.0,94.0,-1.05,280.0,26240.0,-1
2019-10-10,93.0,93.0,93.0,93.0,-1.06,70.0,6510.0,-1
2019-10-14,93.0,93.0,92.0,92.0,-1.08,470.0,43610.0,-1
2019-10-15,92.0,93.0,92.0,93.0,1.09,110.0,10220.0,1
2019-10-16,94.0,94.0,93.0,93.0,0.0,629.0,59096.0,0
2019-10-17,93.0,94.0,93.0,94.0,1.08,220.0,20510.0,1
