published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-07,665.0,726.0,656.0,694.0,2.66,25785.0,17529590.0,1
2021-02-08,685.0,701.0,660.0,675.0,-2.74,26305.0,17664812.0,-1
2021-02-09,707.0,707.0,634.0,645.0,-4.44,31817.0,20460763.0,-1
2021-02-10,677.0,677.0,622.0,640.0,-0.78,26200.0,16625840.0,-1
2021-02-11,628.0,640.0,618.0,620.0,-3.13,15428.0,9651278.0,-1
2021-02-14,615.0,630.0,604.0,613.0,-1.13,20260.0,12468905.0,-1
2021-02-15,610.0,650.0,610.0,643.0,4.89,40120.0,25531595.0,1
2021-02-16,643.0,650.0,627.0,650.0,1.09,28531.0,18248439.0,1
2021-02-17,637.0,648.0,629.0,635.0,-2.31,34932.0,22081999.0,-1
2021-02-18,630.0,659.0,630.0,650.0,2.36,21616.0,14019460.0,1
2021-02-21,661.0,670.0,634.0,650.0,0.0,41465.0,26973565.0,0
2021-02-22,660.0,663.0,637.0,647.0,-0.46,18510.0,11981275.0,-1
2021-02-23,635.0,647.0,635.0,645.0,-0.31,17585.0,11228710.0,-1
2021-02-24,645.0,655.0,635.0,646.0,0.16,20264.0,13170356.0,1
2021-02-25,650.0,650.0,636.0,643.0,-0.46,13120.0,8389920.0,-1
2021-02-28,632.0,633.0,615.0,622.0,-3.27,14411.0,8992091.0,-1
2021-03-01,612.0,635.0,600.0,625.0,0.48,14902.0,9208702.0,1
2021-03-02,656.0,656.0,617.0,618.0,-1.12,8426.0,5265118.0,-1
2021-03-03,608.0,642.0,608.0,624.0,0.97,16220.0,10108435.0,1
2021-03-04,624.0,646.0,624.0,643.0,3.04,12160.0,7780150.0,1
2021-03-07,635.0,643.0,635.0,637.0,-0.93,7910.0,5052140.0,-1
2021-03-09,625.0,641.0,625.0,640.0,0.47,14810.0,9443910.0,1
2021-03-10,635.0,663.0,631.0,657.0,2.66,13721.0,8908995.0,1
2021-03-14,634.0,710.0,634.0,696.0,5.94,44120.0,30681291.0,1
2021-03-15,730.0,730.0,671.0,681.0,-2.16,25060.0,17068440.0,-1
2021-03-16,670.0,693.0,667.0,672.0,-1.32,8842.0,5937431.0,-1
2021-03-17,659.0,685.0,647.0,667.0,-0.74,7630.0,5109400.0,-1
2021-03-18,654.0,678.0,654.0,674.0,1.05,6396.0,4282673.0,1
2021-03-21,661.0,691.0,630.0,680.0,0.89,21793.0,14478106.0,1
2021-03-22,680.0,690.0,654.0,685.0,0.74,12700.0,8654601.0,1
2021-03-23,651.0,716.0,651.0,715.0,4.38,43777.0,30809123.0,1
2021-03-24,715.0,725.0,696.0,705.0,-1.4,18923.0,13427680.0,-1
2021-03-25,730.0,735.0,680.0,697.0,-1.13,10820.0,7510274.0,-1
2021-03-29,690.0,697.0,677.0,683.0,-2.01,13610.0,9328085.0,-1
2021-03-30,680.0,707.0,659.0,690.0,1.02,5594.0,3821661.0,1
2021-03-31,680.0,695.0,680.0,689.0,-0.14,7189.0,4950243.0,-1
2021-04-01,676.0,702.0,676.0,702.0,1.89,17953.0,12508596.0,1
2021-04-04,701.0,707.0,690.0,704.0,0.28,9826.0,6873624.0,1
2021-04-05,705.0,718.0,691.0,708.0,0.57,11655.0,8172016.0,1
2021-04-06,700.0,738.0,696.0,714.0,0.85,14289.0,10199742.0,1
2021-04-07,702.0,750.0,702.0,727.0,1.82,23145.0,16880665.0,1
2021-04-08,720.0,740.0,713.0,732.0,0.69,10293.0,7521426.0,1
2021-04-12,730.0,800.0,730.0,758.0,3.55,25683.0,19552921.0,1
2021-04-13,764.0,833.0,764.0,833.0,9.89,45712.0,37243613.0,1
2021-04-15,874.0,884.0,805.0,823.0,-1.2,40059.0,33158354.0,-1
2021-04-18,820.0,820.0,790.0,804.0,-2.31,29998.0,24061355.0,-1
2021-04-19,788.0,804.0,771.0,782.0,-2.74,13642.0,10726274.0,-1
2021-04-20,782.0,802.0,760.0,790.0,1.02,11927.0,9395053.0,1
2021-04-21,775.0,805.0,766.0,778.0,-1.52,11935.0,9270852.0,-1
2021-04-22,763.0,775.0,761.0,774.0,-0.51,10350.0,7962060.0,-1
2021-04-25,770.0,770.0,732.0,739.0,-4.52,18366.0,13617517.0,-1
2021-04-26,703.0,759.0,703.0,730.0,-1.22,13105.0,9565620.0,-1
2021-04-27,717.0,770.0,717.0,770.0,5.48,9220.0,6949499.0,1
2021-04-28,755.0,785.0,726.0,772.0,0.26,6769.0,5189759.0,1
2021-04-29,760.0,798.0,758.0,790.0,2.33,8804.0,6883192.0,1
2021-05-02,775.0,810.0,762.0,805.0,1.9,16014.0,12810701.0,1
2021-05-03,805.0,810.0,782.0,793.0,-1.49,16942.0,13442076.0,-1
2021-05-04,807.0,807.0,778.0,792.0,-0.13,6540.0,5140416.0,-1
2021-05-05,781.0,792.0,778.0,780.0,-1.52,7210.0,5650510.0,-1
2021-05-06,780.0,788.0,760.0,760.0,-2.56,9309.0,7180065.0,-1
2021-05-09,765.0,826.0,750.0,777.0,2.24,30693.0,24289793.0,1
2021-05-10,777.0,798.0,763.0,796.0,2.45,5919.0,4683311.0,1
2021-05-11,811.0,812.0,796.0,808.0,1.51,12944.0,10443725.0,1
2021-05-12,809.0,864.0,805.0,845.0,4.58,33795.0,28045055.0,1
2021-05-13,850.0,867.0,830.0,840.0,-0.59,24444.0,20644616.0,-1
2021-05-16,850.0,872.0,825.0,830.0,-1.19,25792.0,21563089.0,-1
2021-05-17,828.0,851.0,821.0,835.0,0.6,20835.0,17415790.0,1
2021-05-18,845.0,877.0,835.0,853.0,2.16,27370.0,23431509.0,1
2021-05-19,869.0,869.0,823.0,840.0,-1.52,25322.0,21226713.0,-1
2021-05-20,830.0,840.0,816.0,824.0,-1.9,21914.0,18059349.0,-1
2021-05-23,808.0,837.0,808.0,830.0,0.73,12830.0,10560720.0,1
2021-05-24,830.0,837.0,815.0,818.0,-1.45,12269.0,10068491.0,-1
2021-05-25,807.0,827.0,807.0,810.0,-0.98,10215.0,8306903.0,-1
2021-05-27,800.0,860.0,799.0,839.0,3.58,36891.0,30550887.0,1
2021-05-30,835.0,849.0,800.0,807.0,-3.81,26738.0,21893033.0,-1
2021-05-31,805.0,820.0,788.0,790.0,-2.11,30437.0,24281081.0,-1
2021-06-01,777.0,793.0,770.0,780.0,-1.27,24965.0,19404848.0,-1
2021-06-02,765.0,829.0,765.0,819.0,5.0,19008.0,15131940.0,1
2021-06-03,835.0,835.0,794.0,796.0,-2.81,18901.0,15230446.0,-1
2021-06-06,781.0,790.0,775.0,781.0,-1.88,6435.0,5037650.0,-1
2021-06-07,790.0,800.0,781.0,788.0,0.9,20385.0,16070890.0,1
2021-06-08,776.0,806.0,776.0,792.0,0.51,12447.0,9939326.0,1
2021-06-09,777.0,800.0,777.0,786.0,-0.76,6139.0,4836747.0,-1
2021-06-10,780.0,864.0,771.0,864.0,9.92,96143.0,81127037.0,1
2021-06-13,907.0,950.0,907.0,950.0,9.95,17664.0,16636518.0,1
2021-06-14,997.0,1045.0,925.0,959.0,0.95,81217.0,78491187.0,1
2021-06-15,1006.0,1026.0,967.0,974.0,1.56,79578.0,78983705.0,1
2021-06-16,955.0,970.0,878.0,935.0,-4.0,51201.0,47886746.0,-1
2021-06-17,917.0,938.0,899.0,903.0,-3.42,16795.0,15377410.0,-1
2021-06-20,900.0,914.0,846.0,875.0,-3.1,30764.0,26829747.0,-1
2021-06-21,858.0,908.0,841.0,855.0,-2.29,25140.0,21567873.0,-1
2021-06-22,840.0,929.0,840.0,887.0,3.74,11837.0,10401938.0,1
2021-06-23,870.0,895.0,850.0,860.0,-3.04,10960.0,9524295.0,-1
2021-06-24,845.0,899.0,843.0,861.0,0.12,12090.0,10492520.0,1
2021-06-27,845.0,890.0,845.0,873.0,1.39,12282.0,10567800.0,1
2021-06-28,856.0,876.0,845.0,856.0,-1.95,9045.0,7816530.0,-1
2021-06-29,843.0,888.0,841.0,843.0,-1.52,6893.0,5872539.0,-1
2021-06-30,850.0,855.0,825.0,835.0,-0.95,15060.0,12519143.0,-1
2021-07-01,850.0,868.0,825.0,835.0,0.0,7561.0,6348476.0,0
2021-07-04,822.0,835.0,821.0,835.0,0.0,1774.0,1474952.0,0
2021-07-05,828.0,838.0,815.0,826.0,-1.08,1640.0,1351180.0,-1
2021-07-06,810.0,869.0,810.0,869.0,5.21,12311.0,10156576.0,1
2021-07-07,869.0,869.0,822.0,847.0,-2.53,5865.0,4917965.0,-1
2021-07-08,835.0,855.0,827.0,855.0,0.94,19999.0,16750153.0,1
2021-07-11,855.0,885.0,851.0,874.0,2.22,13015.0,11308845.0,1
2021-07-12,858.0,882.0,849.0,873.0,-0.11,14943.0,12912307.0,-1
2021-07-13,856.0,879.0,850.0,869.0,-0.46,6690.0,5812375.0,-1
2021-07-14,885.0,885.0,852.0,872.0,0.35,4345.0,3759893.0,1
2021-07-15,855.0,891.0,853.0,890.0,2.06,18108.0,15968182.0,1
2021-07-18,874.0,925.0,874.0,920.0,3.37,21870.0,19941109.0,1
2021-07-19,938.0,940.0,904.6,929.0,0.98,29255.0,27070766.5,1
2021-07-20,930.0,963.0,915.0,950.0,2.26,41571.0,39086606.7,1
2021-07-22,951.2,989.0,938.0,984.0,3.58,36976.0,36069987.6,1
2021-07-25,970.0,1000.0,960.0,989.0,0.51,30898.0,30368784.0,1
2021-07-26,999.0,999.9,960.0,980.0,-0.91,14942.0,14694866.3,-1
2021-07-27,990.0,1019.0,961.0,985.0,0.51,19418.0,19288276.5,1
2021-07-28,1004.7,1066.0,975.0,989.9,0.5,16239.0,16441825.0,1
2021-07-29,977.0,985.0,963.0,970.2,-1.99,11406.0,11084342.0,-1
2021-08-01,954.0,980.0,954.0,975.0,0.49,12949.0,12593204.0,1
2021-08-02,973.0,994.5,961.0,975.0,0.0,24890.0,24325376.5,0
2021-08-03,994.5,994.5,965.0,990.0,1.54,13563.0,13286872.0,1
2021-08-04,995.0,1007.0,975.0,985.0,-0.51,25246.0,24930933.4,-1
2021-08-05,999.0,999.0,955.0,965.0,-2.03,12866.0,12484541.0,-1
2021-08-08,946.0,1003.0,946.0,970.0,0.52,15800.0,15508878.5,1
2021-08-09,989.4,1030.0,956.2,1025.0,5.67,43092.0,43358079.0,1
2021-08-10,1010.0,1127.0,1005.0,1127.0,9.95,85263.0,89675547.0,1
2021-08-11,1116.0,1239.7,1115.0,1160.0,2.93,78191.0,91383704.8,1
2021-08-12,1183.0,1276.0,1183.0,1276.0,10.0,99432.0,126273427.0,1
2021-08-15,1251.0,1352.0,1155.0,1352.0,5.96,57818.0,70664971.0,1
2021-08-16,1350.0,1350.0,1225.0,1280.0,-5.33,43504.0,56481552.5,-1
2021-08-17,1257.0,1408.0,1257.0,1408.0,10.0,71755.0,96518946.0,1
2021-08-18,1385.0,1521.0,1385.0,1521.0,8.03,53488.0,76271351.1,1
2021-08-19,1490.6,1490.6,1407.0,1421.0,-6.57,21471.0,30788943.0,-1
2021-08-24,1392.6,1400.0,1297.6,1300.0,-8.52,47405.0,63066822.0,-1
2021-08-25,1274.0,1400.0,1250.0,1400.0,7.69,106520.0,138845009.5,1
2021-08-26,1372.0,1530.0,1345.0,1530.0,9.29,80872.0,117897172.3,1
2021-08-29,1499.4,1499.4,1414.0,1479.0,-3.33,22735.0,32774748.6,-1
2021-08-31,1449.5,1449.5,1343.0,1394.0,-5.75,40471.0,56233334.0,-1
2021-09-01,1366.2,1400.0,1313.0,1330.0,-4.59,16427.0,22280809.0,-1
2021-09-02,1330.0,1421.0,1278.0,1280.0,-3.76,23098.0,30273504.0,-1
2021-09-05,1295.0,1356.0,1200.0,1289.6,0.75,37460.0,46033278.0,1
2021-09-06,1264.0,1340.2,1230.2,1340.0,3.91,16230.0,21216996.0,1
2021-09-07,1313.2,1313.2,1268.0,1268.0,-5.37,13450.0,17265550.0,-1
2021-09-08,1243.0,1292.0,1240.0,1264.0,-0.32,3695.0,4626553.0,-1
2021-09-09,1241.1,1340.0,1238.9,1314.0,3.96,5125.0,6631237.0,1
2021-09-12,1291.0,1346.0,1291.0,1342.0,2.13,17646.0,23437295.1,1
2021-09-13,1340.0,1360.0,1276.0,1324.0,-1.34,11728.0,15505907.0,-1
2021-09-14,1298.0,1377.0,1276.0,1320.0,-0.3,7280.0,9490346.0,-1
2021-09-15,1293.6,1346.0,1268.0,1346.0,1.97,11735.0,15172092.0,1
2021-09-16,1319.1,1319.1,1212.0,1298.0,-3.57,12580.0,15716029.0,-1
2021-09-20,1272.1,1280.0,1168.2,1190.0,-8.32,18950.0,22459553.8,-1
2021-09-21,1175.0,1235.0,1150.0,1155.0,-2.94,7649.0,8942900.0,-1
2021-09-22,1160.0,1225.0,1155.0,1200.0,3.9,3250.0,3889313.0,1
2021-09-23,1224.0,1224.0,1165.3,1202.0,0.17,2380.0,2830037.3,1
2021-09-26,1178.0,1208.0,1160.0,1178.0,-2.0,2270.0,2672303.0,-1
2021-09-27,1201.0,1225.0,1100.0,1130.0,-4.07,9140.0,10551635.0,-1
2021-09-28,1108.0,1125.0,1080.0,1100.0,-2.65,12230.0,13480265.8,-1
2021-09-29,1078.0,1150.0,1049.2,1134.0,3.09,7120.0,7834895.0,1
2021-09-30,1115.0,1130.0,1080.0,1087.0,-4.14,2935.0,3249956.0,-1
2021-10-03,1067.0,1110.0,1050.0,1104.0,1.56,6245.0,6742714.0,1
2021-10-04,1082.0,1122.0,1040.0,1113.8,0.89,2732.0,2992644.0,1
2021-10-05,1092.0,1130.0,1066.1,1077.0,-3.3,8766.0,9548876.0,-1
2021-10-06,1090.0,1155.0,1071.0,1100.0,2.14,999.0,1082990.0,1
2021-10-10,1078.0,1120.0,1056.5,1119.0,1.73,1660.0,1802030.0,1
2021-10-11,1096.7,1100.0,1071.0,1100.0,-1.7,1635.0,1784405.0,-1
2021-10-17,1078.0,1122.0,1070.0,1115.0,1.36,400.0,437934.0,1
2021-10-18,1092.7,1114.5,1051.0,1051.0,-5.74,3418.0,3663447.0,-1
2021-10-19,1050.0,1090.0,1020.0,1088.3,3.55,4071.0,4282190.5,1
2021-10-20,1067.1,1110.0,1067.0,1110.0,1.99,3920.0,4271365.0,1
2021-10-21,1100.0,1100.0,1065.0,1090.0,-1.8,2160.0,2347890.0,-1
2021-10-24,1080.0,1135.1,1070.0,1116.0,2.39,4008.0,4493917.0,1
2021-10-25,1116.0,1227.6,1116.0,1227.0,9.95,14659.0,17376836.5,1
2021-10-26,1203.0,1300.0,1187.0,1253.0,2.12,7044.0,8783416.0,1
2021-10-27,1231.0,1250.0,1206.0,1225.0,-2.23,2066.0,2529363.0,-1
2021-10-28,1201.0,1244.0,1200.5,1230.0,0.41,1785.0,2175544.0,1
2021-10-31,1205.4,1278.0,1185.0,1229.9,-0.01,4370.0,5366751.0,-1
2021-11-01,1220.0,1264.0,1200.5,1228.9,-0.08,5640.0,6904522.5,-1
2021-11-02,1205.0,1295.0,1200.0,1245.0,1.31,5545.0,6827136.0,1
2021-11-03,1230.00,1244.00,1210.00,1239.00,-0.48,1091.00,1337638.40,-1
2021-11-05,1230.00,1244.00,1210.00,1239.00,-0.48,1091.00,1337638.40,-1
2021-11-08,1215.00,1265.00,1191.00,1230.00,-0.73,17742.00,21393295.50,-1
2021-11-09,1250.00,1279.00,1159.00,1180.00,-4.07,3823.00,4580872.60,-1
2021-11-10,1250.00,1279.00,1159.00,1180.00,-4.07,3823.00,4580872.60,-1
2021-11-11,1157.10,1198.00,1150.00,1172.00,-0.68,3452.00,4034892.60,-1
2021-11-12,1157.10,1198.00,1150.00,1172.00,-0.68,3452.00,4034892.60,-1
2021-11-15,1175.10,1222.50,1155.00,1165.00,-2.84,6479.00,7571485.90,-1
2021-11-16,1150.00,1200.00,1107.00,1178.00,1.12,5147.00,5941039.00,1
2021-11-17,1180.00,1259.00,1180.00,1225.00,3.99,13217.00,16026397.60,1
2021-11-18,1200.50,1210.00,1170.00,1170.00,-4.49,2430.00,2895657.00,-1
2021-11-19,1200.50,1210.00,1170.00,1170.00,-4.49,2430.00,2895657.00,-1
2021-11-22,1169.00,1201.00,1168.00,1196.00,0.50,1890.00,2241999.00,1
2021-11-23,1173.00,1173.00,1149.00,1168.00,-2.34,2735.00,3162639.00,-1
2021-11-24,1191.00,1191.00,1123.00,1170.00,0.17,13985.00,15921126.00,1
2021-11-25,1190.00,1190.00,1150.00,1168.00,-0.17,3546.00,4163173.00,-1
2021-11-26,1190.00,1190.00,1150.00,1168.00,-0.17,3546.00,4163173.00,-1
2021-11-29,1078.30,1121.70,1078.30,1096.00,-0.36,1420.00,1564550.00,-1
2021-11-30,1090.00,1154.00,1070.00,1119.00,2.10,2427.00,2673096.60,1
2021-12-01,1115.00,1137.00,1100.00,1100.00,-1.70,1610.00,1802600.00,-1
2021-12-02,1105.00,1120.00,1075.00,1101.90,0.17,4405.00,4834301.00,1
2021-12-03,1105.00,1120.00,1075.00,1101.90,0.17,4405.00,4834301.00,1
2021-12-06,1085.90,1085.90,1007.00,1050.00,-1.41,4490.00,4660647.00,-1
2021-12-07,1071.00,1071.00,1037.70,1055.00,0.48,4801.00,5054035.00,1
2021-12-08,1035.00,1055.00,1010.90,1053.60,-0.13,2515.00,2601669.00,-1
2021-12-09,1033.00,1053.60,1000.00,1013.10,-3.84,3074.00,3107018.00,-1
2021-12-10,1033.00,1053.60,1000.00,1013.10,-3.84,3074.00,3107018.00,-1
2021-12-13,977.00,1036.00,925.00,1035.00,3.92,9061.00,8868877.00,1
2021-12-14,1015.00,1064.80,995.00,1064.80,2.88,4128.00,4301796.60,1
2021-12-15,1085.90,1085.90,1012.00,1039.90,-2.34,2871.00,2956896.50,-1
2021-12-16,1019.20,1081.80,999.00,1081.80,4.03,5660.00,5801960.50,1
2021-12-17,1019.20,1081.80,999.00,1081.80,4.03,5660.00,5801960.50,1
2021-12-20,1065.00,1065.00,985.00,1015.10,-6.17,2560.00,2611799.00,-1
2021-12-21,997.20,1090.00,997.20,1090.00,7.38,1304.00,1339642.00,1
2021-12-22,1089.90,1120.00,1006.00,1115.00,2.29,4475.00,4832215.00,1
2021-12-23,1110.00,1125.00,1039.80,1125.00,0.90,3731.00,4065095.00,1
2021-12-24,1110.00,1125.00,1039.80,1125.00,0.90,3731.00,4065095.00,1
2021-12-27,1069.00,1111.00,1030.00,1030.00,-5.50,2330.00,2454831.00,-1
